StationId,StationName,CountyName,TownName,StationLatitude,StationLongitude,StationAltitude,DateTime,Past1hr,Past10Min,Past3hr,Past6hr,Past12hr,Past24hr,NOW,Past2days,Past3days
CAUB40,國五S041K,宜蘭縣,壯圍鄉,24.734764,121.78192,37,2025/7/29 00:00,0,0,0,0,0.5,0.5,0.5,2,2.5
CAUB30,國五S031K,宜蘭縣,礁溪鄉,24.819144,121.78237,40,2025/7/29 00:00,0,0,0,0,0,0.5,0.5,37,40.5
CAAD90,國五N013K,新北市,坪林區,24.947603,121.7055,280,2025/7/29 00:00,0,0,0,0,1.5,2,2,5,7.5
CAAD80,國五N008K,新北市,石碇區,24.982411,121.66808,217,2025/7/29 00:00,1,0.5,4,4,7,7.5,7.5,10,13
CAAD70,國五S006K,新北市,石碇區,24.989964,121.65697,187,2025/7/29 00:00,0.5,0.5,3.5,3.5,5.5,5.5,5.5,8,12.5
CAAD60,國五S005K,新北市,石碇區,24.996414,121.65193,154,2025/7/29 00:00,0.5,0,4,4,4.5,5,5,7.5,11.5
CAC770,國三N072K,桃園市,龍潭區,24.836391,121.19937,313,2025/7/29 00:00,0,0,2,11.5,11.5,17,17,28,31
C2A650,火燒寮,新北市,平溪區,25.002719,121.74289,287,2025/7/29 00:00,1,0,1.5,1.5,5,5,5,9,4.5
C2A660,瑞芳,新北市,瑞芳區,25.113169,121.80114,97,2025/7/29 00:00,0,0,1,2,2,2,2,3,4.5
C2M620,瑞里,嘉義縣,梅山鄉,23.545133,120.67519,1252,2025/7/29 00:00,0,0,0,0.5,11.5,29,29,68.5,127
C2A560,福山,新北市,烏來區,24.776203,121.50281,405,2025/7/29 00:00,1,0,2.5,8.5,16.5,17,17,16,-99
C2A540,四堵,新北市,坪林區,24.8926,121.74573,401,2025/7/29 00:00,0,0,0,0,6,6.5,6.5,16,19.5
C2A880,福隆,新北市,貢寮區,25.017842,121.94208,6,2025/7/29 00:00,0,0,4.5,7.5,7.5,7.5,7.5,11,12.5
C2A920,富貴角,新北市,石門區,25.263783,121.56525,196,2025/7/29 00:00,1.5,0,11,12.5,21,21,21,29.5,32.5
C2F860,梨山,臺中市,和平區,24.247522,121.24366,2215,2025/7/29 00:00,0,0,1.5,32,34,53.5,53.5,60.5,66
C2F000,大肚,臺中市,大肚區,24.15295,120.57211,273,2025/7/29 00:00,0,0,0,0.5,16,57.5,57.5,84,88
81T1B0,和仁車站,花蓮縣,秀林鄉,24.236166,121.708898,40,2025/7/29 00:00,0,0,0,0,0,1,1,1,1
81T1A0,崇德國小,花蓮縣,秀林鄉,24.161555,121.653037,20,2025/7/29 00:00,0,0,0,2.5,2.5,3.5,3.5,3.5,3.5
467280,後龍,苗栗縣,造橋鄉,24.648563,120.831834,30,2025/7/29 00:00,0,0,0,13,13,14,14,138.5,139
CAV280,國三S378K,高雄市,田寮區,22.825958,120.41551,107,2025/7/29 00:00,1,0,6,13,59,96.5,96.5,104,121
CAN150,國一N315K,臺南市,新市區,23.0835,120.25189,13,2025/7/29 00:00,4,1,12.5,12.5,75.5,122.5,122.5,125,187
CAV270,國一S336K,高雄市,路竹區,22.894167,120.27117,23,2025/7/29 00:00,33.5,5.5,54,55,71,95,95,95.5,118
CAM900,國三S290K,嘉義縣,竹崎鄉,23.504106,120.49074,47,2025/7/29 00:00,0,0,0,0.5,38,133.5,133.5,153,258.5
CAD710,國三N077K,新竹縣,關西鎮,24.797294,121.19003,218,2025/7/29 00:00,0,0,1.5,12,12,17.5,17.5,43.5,50
CAC760,國一高架N063,桃園市,平鎮區,24.950281,121.19631,170,2025/7/29 00:00,0,0,1.5,1.5,2.5,4,4,14.5,15.5
CAA990,國一N039K,新北市,泰山區,25.064433,121.38197,233,2025/7/29 00:00,0,0,1.5,1.5,2.5,3,3,9,14
CAF980,國三N183K,臺中市,龍井區,24.193628,120.57031,131,2025/7/29 00:00,0,0,0,1.5,18.5,63.5,63.5,99.5,100.5
CAF960,國三S175K,臺中市,沙鹿區,24.251494,120.58968,154,2025/7/29 00:00,0,0,0,4.5,66.5,127,127,188.5,189
CAF950,國一N158K,臺中市,后里區,24.332372,120.71714,183,2025/7/29 00:00,0,0,0.5,5,23,62,62,128.5,132
CAE560,國一S144K,苗栗縣,銅鑼鄉,24.437042,120.77821,265,2025/7/29 00:00,0,0,0,5.5,5.5,38,38,122.5,127
C2N160,西拉雅風管處,臺南市,官田區,23.189481,120.335297,43,2025/7/29 00:00,0,0,0,0,41.5,115,115,127,166.5
81S560,三和國小,臺東縣,太麻里鄉,22.67206,121.037516,10,2025/7/29 00:00,0,0,0,7,9.5,12,12,12,12.5
81S540,拉里吧,臺東縣,達仁鄉,22.479722,120.9125,170,2025/7/29 00:00,1,0,7.5,15,16.5,20.5,20.5,20.5,20.5
