StationId,StationName,CountyName,TownName,StationLatitude,StationLongitude,StationAltitude,DateTime,Past1hr,Past10Min,Past3hr,Past6hr,Past12hr,Past24hr,NOW,Past2days,Past3days
C0UB20,壯圍,宜蘭縣,壯圍鄉,24.735922,121.81625,30,2025/11/12 00:00,0,0,22,69.5,122,186,186,278,279
C0AJ70,田寮,新北市,三芝區,25.2698,121.488597,21,2025/11/12 00:00,6,3,10,21.5,40,100.5,100.5,204.5,204.5
C0AJ60,六塊厝,新北市,淡水區,25.240002,121.448102,13,2025/11/12 00:00,14.5,2,52,86.5,141,185.5,185.5,246,249
C0R850,林邊,屏東縣,林邊鄉,22.463447,120.533892,16,2025/11/12 00:00,0,0,0,0,0,6,6,10.5,10.5
C0V890,前鎮,高雄市,前鎮區,22.572152,120.311191,25,2025/11/12 00:00,0,0,0,0,1,5.5,5.5,8.5,8.5
C0N040,蘆竹溝,臺南市,北門區,23.234405,120.096125,22,2025/11/12 00:00,0,0,0,0,0,2,2,2.5,2.5
C0N030,四草,臺南市,安南區,23.023541,120.111633,2,2025/11/12 00:00,0,0,0,0,0,3,3,5,5
C0N020,城西,臺南市,安南區,23.056805,120.095569,27,2025/11/12 00:00,0,0,0,0,0,2,2,3.5,3.5
C0V880,興達,高雄市,茄萣區,22.877755,120.212747,19,2025/11/12 00:00,0,0,0,0,0,3,3,6,6
C0V870,文安,高雄市,彌陀區,22.802525,120.216369,23,2025/11/12 00:00,0,0,0,0,0.5,5.5,5.5,7.5,7.5
C0V860,南寮,高雄市,彌陀區,22.761616,120.233925,10,2025/11/12 00:00,0,0,0,0,0,9,9,11,11
C0V850,蚵仔寮,高雄市,梓官區,22.725647,120.252675,22,2025/11/12 00:00,0,0,0,0,0,8.5,8.5,10.5,10.5
C0V840,鳳鼻頭,高雄市,小港區,22.508275,120.359141,35,2025/11/12 00:00,0,0,0,0,1,5,5,8,8
C0V900,汕尾,高雄市,林園區,22.478205,120.415136,6,2025/11/12 00:00,0,0,0,0,0.5,3,3,7.5,7.5
C0R920,塭仔,屏東縣,佳冬鄉,22.416933,120.519661,19,2025/11/12 00:00,0,0,0,0,0,6,6,12.5,12.5
C0R910,下寮,屏東縣,枋寮鄉,22.392861,120.55478,8,2025/11/12 00:00,0,0,0,0,0,4,4,4.5,4.5
C0N010,鯤鯓國小,臺南市,將軍區,23.187875,120.0889,19,2025/11/12 00:00,0,0,0,0,0,2,2,3,3
C0R940,加祿堂,屏東縣,枋山鄉,22.336306,120.621722,24,2025/11/12 00:00,0,0,0,0.5,2,5.5,5.5,8.5,8.5
C0R900,竹坑,屏東縣,車城鄉,22.13845,120.70215,30,2025/11/12 00:00,0,0,1.5,4,10,17.5,17.5,53,53
C0R890,山海,屏東縣,恆春鎮,21.987777,120.709119,33,2025/11/12 00:00,0,0,0,2,10,27,27,74.5,74.5
C0R880,後壁湖,屏東縣,恆春鎮,21.945666,120.745705,13,2025/11/12 00:00,0,0,0,0,8.5,26.5,26.5,88,88
C0R870,興海,屏東縣,滿州鄉,21.975177,120.843919,13,2025/11/12 00:00,0,0,0,0,3,20,20,75,75.5
C0R860,鼻頭,屏東縣,滿州鄉,22.1043,120.897883,31,2025/11/12 00:00,0,0,0,1.5,4,76.5,76.5,124,124
C0FA30,梧棲,臺中市,梧棲區,24.256003,120.523381,31.7,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
CAP070,高雄燈塔,高雄市,旗津區,22.614594,120.264679,34,2025/11/12 00:00,0,0,0,0,2,5,5,8,8
81D760,錦山國小,新竹縣,關西鎮,24.769203,121.225244,220,2025/11/12 00:00,0,0,0,0.5,4.5,6.5,6.5,6.5,6.5
C1U930,粉鳥林,宜蘭縣,蘇澳鎮,24.497089,121.842481,5,2025/11/12 00:00,0,0,0.5,45,211.5,431.5,431.5,542,551.5
C0E930,龍鳳,苗栗縣,竹南鎮,24.700036,120.859128,26,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
C0FA20,溫寮,臺中市,大安區,24.372178,120.583125,26,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
C0FA10,松柏,臺中市,大甲區,24.429117,120.617483,22,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
C0E920,通霄漁港,苗栗縣,通霄鎮,24.498589,120.673878,20,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
C0E910,海埔,苗栗縣,後龍鎮,24.648769,120.772436,25,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
C0D690,外湖,新竹縣,新豐鄉,24.917736,120.968711,20,2025/11/12 00:00,0,0,1,1,2.5,5.5,5.5,5.5,5.5
C0B050,八斗子,基隆市,中正區,25.144756,121.791672,5,2025/11/12 00:00,8,3,13,14.5,47.5,113,113,204,204
C0AJ50,水湳洞,新北市,瑞芳區,25.123697,121.862239,30,2025/11/12 00:00,3,0.5,4.5,5.5,23,54,54,131.5,131.5
C0D680,香山濕地,新竹市,香山區,24.783583,120.914989,24,2025/11/12 00:00,0,0,0,0,0,0.5,0.5,0.5,0.5
C0D670,海天一線,新竹市,北區,24.831989,120.914439,23,2025/11/12 00:00,0,0,0.5,0.5,1,2,2,2,2
C0C740,觀音工業區,桃園市,觀音區,25.064767,121.114858,5.3,2025/11/12 00:00,1,0.5,1.5,1.5,4,8,8,10.5,10.5
C0AJ40,石門,新北市,石門區,25.273672,121.6012,154,2025/11/12 00:00,1.5,0.5,4,5,18.5,52,52,79.5,81
C0C730,中大臨海站,桃園市,新屋區,24.966128,121.008583,5,2025/11/12 00:00,1,0,1.5,1.5,4.5,8,8,11,11
C0C720,竹圍,桃園市,大園區,25.112694,121.239825,21,2025/11/12 00:00,0,0,0,0.5,2.5,7.5,7.5,25.5,26
C0AJ30,淡水觀海,新北市,淡水區,25.184592,121.408617,22,2025/11/12 00:00,1.5,0.5,5.5,10,18.5,26.5,26.5,38,38.5
C0AJ20,野柳,新北市,萬里區,25.207031,121.690022,22,2025/11/12 00:00,0.5,0,1,1.5,9.5,33.5,33.5,65.5,65.5
C0B040,大武崙,基隆市,安樂區,25.166678,121.706994,15,2025/11/12 00:00,1.5,0,4.5,11,46.5,102,102,210,210
C0AJ90,澳底,新北市,貢寮區,25.055192,121.925264,23,2025/11/12 00:00,7,1.5,10.5,13,41,79.5,79.5,116,116
C0UA90,石城,宜蘭縣,頭城鎮,24.980444,121.951214,5,2025/11/12 00:00,16.5,4,31,45,114.5,184,184,247.5,248
C0UA80,大溪漁港,宜蘭縣,頭城鎮,24.941803,121.902956,10,2025/11/12 00:00,9.5,2.5,19.5,27.5,93.5,128.5,128.5,170,170
CAW010,東引,連江縣,東引鄉,26.358836,120.483631,42,2025/11/12 00:00,0.5,0,1,1.5,1.5,2.5,2.5,2.5,2.5
C0UB00,淡大蘭陽校園,宜蘭縣,礁溪鄉,24.823239,121.730383,379,2025/11/12 00:00,2.5,0.5,52.5,103.5,138.5,209.5,209.5,299.5,321.5
C0G920,永靖,彰化縣,永靖鄉,23.924703,120.547533,42,2025/11/12 00:00,0,0,0,0,0,0,0,0.5,0.5
CAQ030,崎峰國小,屏東縣,林邊鄉,22.42565,120.49521,10,2025/11/12 00:00,0,0,0,0,0,6,6,14,14
CAN140,六官養殖協會,臺南市,六甲區,23.22881,120.29962,24,2025/11/12 00:00,0,0,0,0,0,1,1,2.5,2.5
CAJ050,海口故事園區,雲林縣,口湖鄉,23.57543,120.14121,4,2025/11/12 00:00,0,0,0,0,0,0,0,0.5,0.5
CAG100,王功漁港,彰化縣,芳苑鄉,23.96824,120.32586,7,2025/11/12 00:00,0,0,0,0,0,0.5,0.5,0.5,0.5
CAL110,布袋國中,嘉義縣,布袋鎮,23.35893,120.18026,1.1,2025/11/12 00:00,0,0,0,0,0,0.5,0.5,1.5,1.5
CAN130,水試所海水繁,臺南市,七股區,23.120802,120.079676,2.3,2025/11/12 00:00,0,0,0,0,0,3.5,3.5,5.5,6.5
C0A770,科教館,臺北市,士林區,25.096356,121.516506,60,2025/11/12 00:00,0,0,0,0.5,1,6,6,7.5,7.5
CAN120,西濱N304K,臺南市,七股區,23.103439,120.086694,49,2025/11/12 00:00,0,0,0,0,0,2.5,2.5,4,4
CAN110,西濱S280K,臺南市,北門區,23.3052,120.14891,5,2025/11/12 00:00,0,0,0,0,0,1.5,1.5,2.5,2.5
CAL100,西濱S267K,嘉義縣,東石鄉,23.41613,120.162872,8,2025/11/12 00:00,0,0,0,0,0,0,0,1,1
CAL090,西濱S257K,嘉義縣,東石鄉,23.502278,120.171861,5,2025/11/12 00:00,0,0,0,0,0,0,0,1,1
CAJ040,西濱S241K,雲林縣,口湖鄉,23.623426,120.172646,14,2025/11/12 00:00,0,0,0,0,0,0,0,1,1
CAJ030,西濱N222K,雲林縣,麥寮鄉,23.737734,120.256132,31,2025/11/12 00:00,0,0,0,0,0,0,0,0.5,0.5
CAG090,西濱N210K,彰化縣,大城鄉,23.843536,120.293236,48,2025/11/12 00:00,0,0,0,0,0,0.5,0.5,1.5,1.5
CAG080,西濱S189K,彰化縣,芳苑鄉,23.987857,120.369607,30,2025/11/12 00:00,0,0,0,0,0,0.5,0.5,0.5,0.5
CAG070,西濱S173K,彰化縣,鹿港鎮,24.1081,120.434576,23,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
CAF100,西濱N151K,臺中市,清水區,24.275964,120.547681,14,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
CAE110,西濱S129K,苗栗縣,苑裡鎮,24.4472,120.6428,42,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
CAE100,西濱N107K,苗栗縣,後龍鎮,24.5958,120.7394,47,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
CAD110,西濱S082K,新竹市,香山區,24.751724,120.905028,17,2025/11/12 00:00,0,0,0,0,0,0.5,0.5,0.5,0.5
CAD100,西濱N066K,新竹縣,新豐鄉,24.8956,120.9649,17,2025/11/12 00:00,0,0,1,1.5,3,7.5,7.5,7.5,7.5
CAC050,西濱S023K,桃園市,蘆竹區,25.11649,121.27551,23,2025/11/12 00:00,0.5,0,0.5,1,2,4.5,4.5,5.5,5.5
C1O940,東山服務區,臺南市,東山區,23.286017,120.390378,55,2025/11/12 00:00,0,0,0,0,0,1.5,1.5,2.5,2.5
C1H840,國三N238K,南投縣,名間鄉,23.841008,120.699575,231,2025/11/12 00:00,0,0,0,0,0,0,0,0.5,0.5
C1G9D0,國一S218K,彰化縣,埤頭鄉,23.890642,120.485117,30,2025/11/12 00:00,0,0,0,0,0,0,0,0.5,0.5
C1E900,國一N128K,苗栗縣,頭屋鄉,24.560997,120.836,80,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
C1A760,坪林交控,新北市,坪林區,24.942842,121.638556,217,2025/11/12 00:00,7,0.5,26.5,43,72.5,119.5,119.5,180,180
C1A750,石碇服務區,新北市,石碇區,25.00865,121.638017,92,2025/11/12 00:00,3,0,12,21,38,59.5,59.5,89.5,90
CAH030,茶改場竹圍站,南投縣,名間鄉,23.86008,120.6375,300,2025/11/12 00:00,0,0,0,0,0,0,0,1,1
CAQ010,國三N425K,屏東縣,南州鄉,22.480277,120.531666,33,2025/11/12 00:00,0,0,0,0,0,6.5,6.5,13.5,13.5
CAQ020,國三S415K,屏東縣,竹田鄉,22.568,120.528,38,2025/11/12 00:00,0,0,0,0,0,5.5,5.5,11,11
CAP060,國三S385K,高雄市,大樹區,22.767777,120.444444,93,2025/11/12 00:00,0,0,0,0,0,5,5,10.5,10.5
CAN100,國三S366K,臺南市,關廟區,22.9077,120.3513,64,2025/11/12 00:00,0,0,0,0,0,6.5,6.5,9,9
CAN090,國三S342K,臺南市,善化區,23.106694,120.327528,41,2025/11/12 00:00,0,0,0,0,0,1.5,1.5,4,4
CAN080,國三N336K,臺南市,官田區,23.154722,120.345,49,2025/11/12 00:00,0,0,0,0,0,2.5,2.5,5,5
CAN070,國三S329K,臺南市,官田區,23.212777,120.355833,63,2025/11/12 00:00,0,0,0,0,0,2,2,4.5,4.5
CAN060,國三S311K,臺南市,白河區,23.346388,120.438888,66,2025/11/12 00:00,0,0,0,0,0,1,1,2.5,2.5
CAL080,國三N303K,嘉義縣,中埔鄉,23.411969,120.452447,72,2025/11/12 00:00,0,0,0,0,0,0.5,0.5,2.5,2.5
CAL070,國三N295K,嘉義市,東區,23.468598,120.499369,99,2025/11/12 00:00,0,0,0,0,0,0,0,1,1
CAL050,國三N279K,嘉義縣,大林鎮,23.596111,120.523333,113,2025/11/12 00:00,0,0,0,0,0,0,0,0.5,0.5
CAP040,國一N361K,高雄市,仁武區,22.680555,120.328611,27,2025/11/12 00:00,0,0,0,0,0,5.5,5.5,8.5,8.5
CAP030,國一N351K,高雄市,橋頭區,22.765833,120.328888,37,2025/11/12 00:00,0,0,0,0,0,4,4,6,6
CAP020,國一S346K,高雄市,岡山區,22.812222,120.314166,24,2025/11/12 00:00,0,0,0,0,0,2.5,2.5,4.5,4.5
CAP010,國一S342K,高雄市,路竹區,22.845555,120.295,31,2025/11/12 00:00,0,0,0,0,0,3,3,5.5,5.5
CAN040,國一N323K,臺南市,永康區,23.011789,120.249453,33,2025/11/12 00:00,0,0,0,0,0,2.5,2.5,5,5
